text,category
paid 200 for pizza,food
ordered burger from zomato,food
had lunch at restaurant 300,food
swiggy order 250,food
bought sandwich 120,food
dinner at cafe 400,food
pizza delivery 350,food
ate dosa 80,food
coffee at cafe 150,food
breakfast at hotel 200,food
paid 500 for dinner,food
ordered food online 600,food
snacks purchase 100,food
bought ice cream 90,food
lunch bill 250,food
restaurant payment 700,food
fast food purchase 180,food
dominos order 450,food
kfc meal 550,food
subway sandwich 300,food
paid 150 for tea and snacks,food
evening snacks 120,food
zomato dinner 800,food
food court payment 350,food
paid for lunch 270,food
uber ride 150,travel
ola cab 200,travel
bus ticket 40,travel
train ticket 300,travel
metro ticket 60,travel
auto fare 100,travel
flight ticket 5000,travel
cab ride 250,travel
taxi fare 180,travel
travel by bus 90,travel
local train ticket 30,travel
bike taxi 120,travel
rapido ride 110,travel
airport cab 600,travel
outstation travel 2000,travel
train reservation 800,travel
bus travel payment 150,travel
fuel for car 1000,travel
petrol fill 1500,travel
diesel payment 1800,travel
toll payment 200,travel
parking fee 50,travel
electricity bill 1200,bills
water bill 300,bills
paid rent 5000,bills
internet bill 800,bills
wifi recharge 600,bills
mobile recharge 300,bills
gas bill 900,bills
electric bill payment 1500,bills
house rent 7000,bills
broadband bill 1000,bills
dth recharge 400,bills
utility bill 1100,bills
maintenance charge 2000,bills
society maintenance 2500,bills
phone bill 450,bills
postpaid bill 600,bills
electricity recharge 1300,bills
water charges 350,bills
rent payment 8000,bills
paid electricity dues 1400,bills
bought groceries 1200,food
vegetable purchase 300,food
fruit purchase 250,food
milk and bread 150,food
supermarket food items 900,food
grocery shopping 2000,food
daily essentials 800,food
bakery items 400,food
restaurant dinner 900,food
lunch outside 350,food
snack purchase 200,food
evening coffee 120,food
tea stall 50,food
street food 100,food
juice shop 80,food
food delivery 500,food
fast food bill 600,food
paid at cafe 300,food
online food order 700,food
meal payment 450,food
uber pool 120,travel
ola mini 180,travel
shared auto 50,travel
metro recharge 200,travel
bus pass 600,travel
train monthly pass 1000,travel
flight booking 8000,travel
cab booking 350,travel
taxi ride 220,travel
auto ride 90,travel
fuel refill 2000,travel
petrol pump 1700,travel
diesel refill 1900,travel
highway toll 300,travel
parking charges 100,travel
car service travel 2500,travel
bike fuel 500,travel
uber intercity 1500,travel
ola outstation 1800,travel
rapido bike 130,travel
electric bill 1600,bills
water tax 400,bills
rent for house 9000,bills
internet recharge 700,bills
wifi bill 850,bills
mobile bill 500,bills
gas cylinder 1100,bills
electric dues 1700,bills
house maintenance 3000,bills
broadband recharge 1200,bills
dth bill 450,bills
utility charges 1300,bills
society charges 2700,bills
phone recharge 350,bills
postpaid recharge 650,bills
electric recharge 1400,bills
water bill payment 450,bills
monthly rent 10000,bills
paid house rent 9500,bills
electricity payment 1800,bills